area_sqft,bedrooms,bathrooms,location,parking,house_age,price
2148,4,4,City Center,0,14,138.68
1703,5,5,Suburb,1,13,85.57
2253,2,2,Downtown,1,38,75.11
2866,5,4,City Center,0,4,177.31
1636,3,2,Downtown,1,25,74.87
1636,2,2,Suburb,0,16,59.17
2905,1,1,Rural,1,15,72.35
2337,1,1,Suburb,1,34,49.17
1471,3,2,Industrial Area,0,37,35.65
2180,3,3,City Center,1,22,104.48
1476,2,2,Suburb,0,12,60.85
1474,3,2,Rural,1,32,30.05
1969,2,2,Downtown,0,28,71.76
461,3,3,City Center,1,33,38.11
593,2,2,Suburb,1,33,35.85
1406,4,3,Rural,0,26,46.33
1091,4,3,Suburb,1,14,66.69
2020,3,2,Industrial Area,1,8,67.89
1164,2,2,City Center,0,25,52.56
811,2,2,Downtown,1,2,60.52
2826,4,3,Rural,1,35,63.68
1642,2,1,Suburb,1,4,71.77
1847,2,2,City Center,0,19,81.32
803,1,1,Suburb,0,19,22.67
1419,3,3,City Center,1,4,111.27
1878,3,3,Industrial Area,1,9,72.77
994,4,3,Suburb,1,15,55.25
2063,2,2,Industrial Area,0,24,51.73
1380,2,1,Rural,1,24,40.21
1596,4,4,Industrial Area,1,29,44.18
1379,4,4,City Center,0,13,94.16
3097,2,1,Rural,0,21,67.15
1791,3,2,Suburb,1,27,50.59
1060,2,2,Suburb,1,29,35.67
2376,5,5,City Center,1,18,153.11
945,2,1,Downtown,1,37,30.45
1946,5,5,Downtown,1,19,109.95
428,3,2,Suburb,0,34,8.17
870,3,2,City Center,1,21,57.89
1938,1,1,Downtown,1,14,77.25
2317,3,3,Industrial Area,1,10,78.39
1920,3,3,Suburb,0,33,55.79
1719,2,1,Industrial Area,1,23,40.17
1589,3,3,City Center,1,5,111.92
765,5,5,Industrial Area,0,16,40.39
1296,3,3,Downtown,1,27,54.93
1478,3,3,Downtown,1,30,70.52
2540,1,1,Rural,1,35,37.75
2041,3,3,Suburb,1,8,85.55
566,2,1,City Center,1,9,43.56
2027,3,2,Suburb,0,20,68.62
1530,5,4,Industrial Area,1,33,48.28
1326,3,3,City Center,1,30,66.14
2228,1,1,City Center,1,28,79.21
2522,2,1,Downtown,1,10,114.48
2452,3,3,Industrial Area,1,32,60.51
1213,3,2,Downtown,0,0,79.43
1584,4,3,Downtown,0,20,86.44
2032,4,4,Rural,0,22,60.53
2483,3,2,Downtown,0,8,127.4
1465,2,1,Suburb,1,0,75.19
1670,2,2,City Center,1,20,84.84
1026,2,2,Downtown,1,21,58.47
963,2,2,Suburb,0,3,48.39
2369,3,3,Industrial Area,1,0,100.94
2749,3,3,City Center,1,9,143.97
1750,3,3,Industrial Area,0,14,56.89
2502,1,1,Suburb,1,35,58.83
2053,2,2,Industrial Area,1,28,54.63
1348,2,2,Industrial Area,1,4,53.99
2053,2,1,Industrial Area,1,28,39.44
2877,4,4,Downtown,1,26,116.95
1775,1,1,Downtown,0,24,66.7
2895,3,3,Downtown,1,15,131.1
400,2,2,City Center,1,15,40.9
2375,4,4,Suburb,1,35,79.1
1861,3,2,Downtown,1,24,79.67
1591,2,2,Industrial Area,1,40,34.16
1864,3,2,Industrial Area,1,0,76.9
409,3,3,Industrial Area,0,4,31.92
1646,5,5,Industrial Area,1,40,47.92
2050,2,2,Rural,0,19,52.14
2835,4,3,City Center,0,4,160.96
1437,5,4,Suburb,1,35,51.33
1234,4,4,Suburb,1,28,44.56
1449,3,3,Downtown,1,33,60.57
2441,3,3,Rural,0,17,67.7
2030,3,3,Suburb,0,1,89.9
1429,4,4,City Center,0,15,87.46
2159,3,2,Industrial Area,0,28,50.35
1868,3,2,Downtown,0,32,76.73
2478,3,3,City Center,1,15,140.06
1309,3,3,Suburb,1,34,39.88
1571,4,3,Rural,1,16,49.9
1526,2,1,Downtown,1,3,85.02
776,4,4,Suburb,0,3,62.94
2007,3,3,Downtown,1,24,77.66
1983,4,4,Suburb,0,32,57.12
1804,3,3,Industrial Area,1,13,67.21
1636,2,2,Rural,1,23,43.68
809,4,4,Industrial Area,1,10,45.66
1506,2,1,Suburb,0,24,43.49
1560,4,4,City Center,1,27,88.09
1238,3,3,Industrial Area,0,6,49.42
1687,3,3,City Center,0,35,60.16
2083,2,1,Suburb,0,9,72.56
3120,3,2,Rural,1,35,58.83
1922,2,2,City Center,1,30,65.5
1980,1,1,Suburb,0,18,60.69
1748,2,1,City Center,1,17,92.93
457,1,1,Industrial Area,1,5,20.8
1781,5,5,Suburb,1,27,68.58
1842,5,5,Industrial Area,1,6,80.3
3524,2,2,Downtown,1,37,98.74
1665,3,3,Suburb,1,11,70.27
2011,2,1,City Center,1,40,75.8
1776,3,2,Downtown,1,33,67.07
982,4,4,Industrial Area,1,24,29.68
2600,5,4,Industrial Area,0,16,89.01
2326,3,3,City Center,0,32,99.88
2354,4,4,Downtown,0,22,107.71
1163,2,2,Rural,1,8,48.52
2782,5,4,City Center,0,5,178.23
819,1,1,Industrial Area,1,1,40.37
2211,3,3,Suburb,1,37,63.01
3333,3,2,Downtown,1,8,165.79
